person,company
Adam Terelak,Mediobanca
Adeel Khan,Barclays
Alastair Borthwick,Bank of America
Alastair Warr,Autonomous
Alvaro Serrano,Morgan Stanley
Amandeep Rakkar,Barclays
Amit Goel,Mediobanca
Andrew Coombs,Citigroup
Andrew Lim,Societe Generale
Anna Cross,Barclays
Benjamin Toms,RBC
Betsy Graseck,Morgan Stanley
Brennan Hawken,UBS
Brian Kleinhanzl,KBW
Brian Moynihan,Bank of America
C. S. Venkatakrishnan,Barclays
Carey Halio,Goldman Sachs
Charles Peabody,Portales Partners
Charmsol Yoon,Lazard
Chris Cant,Autonomous
Chris Hallam,Goldman Sachs
Christian Bolu,Autonomous
Christopher Cant,Autonomous
Christopher Kotowski,Oppenheimer
Daniel Fannon,Jefferies
David Solomon,Goldman Sachs
Dennis Coleman,Goldman Sachs
Denny Nealon,Barclays
Devin Ryan,Citizens JMP
Ebrahim Poonawala,Bank of America
Edward Firth,KBW
Erika Najarian,UBS
Ewen Stevenson,HSBC
Fahed Kunwar,Redburn
Georges Elhedery,HSBC
Gerard Cassidy,RBC
Glenn Schorr,Evercore
Gurpreet Singh Sahi,Goldman Sachs
Guy Stebbings,BNP Paribas
Jamie Dimon,JPMorgan
Jane Fraser,Citigroup
Jason Napier,UBS
Jeff Harte,Piper Sandler
Jennifer Landis,Citigroup
Jennifer Piepszak,JPMorgan
Jeremy Barnum,JPMorgan
Jeremy Hugh,CICC
Jeremy Sigee,BNP Paribas
Jes Staley,Barclays
Jim Mitchell,Seaport Global Securities
John McDonald,Truist Securities
Jon Bingham,HSBC
Jonathan Pierce,Jefferies
Joseph Dickerson,Jefferies
Katherine Lei,JPMorgan
Kenneth Usdin,Jefferies
Kian Abouhossein,JPMorgan
Lee McEntire,Bank of America
Manan Gosalia,Morgan Stanley
Manus Costello,Autonomous
Mark Mason,Citigroup
Martin Leitgeb,Goldman Sachs
Matthew O'Connor,Deutsche Bank
Michael Mayo,Wells Fargo Securities
Mike Carrier,Bank of America
Mike O'Connor,Citigroup
Nicholas Lord,Morgan Stanley
Noel Quinn,HSBC
Omar Keenan,Credit Suisse
Paul Donofrio,Bank of America
Perlie Mong,Bank of America
Raul Sinha,JPMorgan
Richard O'Connor,HSBC
Robert Noble,Deutsche Bank
Robin Down,HSBC
Rohith Chandra-Rajan,Bank of America
Ryan Kenny,Morgan Stanley
Saul Martinez,HSBC
Scott Siefers,Piper Sandler
Sheng Wang,Wolfe Research
Stephen Scherr,Goldman Sachs
Steven Chubak,Wolfe Research
Thomas Rayner,Numis
Tushar Morzaria,Barclays
Unknown,Unknown
Vim Maru,Barclays
Vivek Juneja,JPMorgan
Yafei Tian,Citigroup
Unidentified Company Representative,HSBC